time,id,rssi
2023-03-23T16:16:27Z,66612D61E8,-44
2023-03-23T16:16:33Z,333378335C,-63
2023-03-23T16:16:34Z,4C55330744,-56
2023-03-23T16:16:34Z,612A783401,-55
2023-03-23T16:16:34Z,33192A7848,-81
