time,id,rssi
2023-07-24T10:36:53Z,33B40733,-116,
2023-07-24T12:20:27Z,52E12A61,-118,
2023-07-24T12:44:32Z,CBFF80AA,-117,
2023-07-24T15:37:15Z,7FFF2D61,-116,
2023-07-24T20:19:09Z,D5B478D5,-119,
